BSE Code,Name
500322,PANYAM CEMENTS & MINERAL INDUS
500325,RELIANCE INDUSTRIES LTD.
500327,Pil Italica Lifestyle Limited
500330,RAYMOND LTD.
500331,PIDILITE INDUSTRIES LTD.
500333,PIX TRANSMISSIONS LTD.
500335,BIRLA CORPORATION LTD.
500336,SURYA ROSHNI LTD.
500337,PRIME SECURITIES LTD.
500338,PRISM JOHNSON LIMITED.
500339,RAIN INDUSTRIES LIMITED
500342,PRUDENTIAL SUGAR CORPORATION L
500343,AMJ LAND HOLDINGS LIMITED
500346,PUNJAB COMMUNICATIONS LTD.
500350,RSWM LTD.
500354,RAJSHREE SUGARS & CHEMICALS LT
500355,RALLIS INDIA LTD.
500356,SHREE RAMA NEWSPRINT LTD.
500360,RAPICUT CARBIDES LTD.
500365,WELSPUN SPECIALTY SOLUTIONS LI
500367,RUBFILA INTERNATIONAL LTD.
500368,Patanjali Foods Limited
500370,SALORA INTERNATIONAL LTD.
500371,SAMTEL INDIA LTD.
500378,JINDAL SAW LTD.
500380,JK LAKSHMI CEMENT LTD.
500387,SHREE CEMENT LTD.
500388,SHREE KRISHNA PAPER MILLS & IN
500390,RELIANCE INFRASTRUCTURE LTD.
500399,STEELCO GUJARAT LTD.
500400,TATA POWER CO.LTD.
500402,SPML INFRA LIMITED
500403,SUNDRAM FASTENERS LTD.
500404,SUNFLAG IRON & STEEL CO.LTD.
500405,SUPREME PETROCHEM LTD.
500407,SWARAJ ENGINES LTD.
500408,TATA ELXSI LTD.
500410,ACC LTD.
500411,THERMAX LTD.
500412,THIRUMALAI CHEMICALS LTD.
500413,THOMAS COOK (INDIA) LTD.
500414,TIMEX GROUP INDIA LTD.
500418,TOKYO PLAST INTERNATIONAL LTD.
500420,TORRENT PHARMACEUTICALS LTD.
500421,TPI INDIA LTD.
500422,TRANSCHEM LTD.
500425,AMBUJA CEMENTS LTD.
500426,UTL INDUSTRIES LIMITED
500429,UNIPHOS ENTERPRISES LTD.
500439,VARDHMAN HOLDINGS LTD.
500440,HINDALCO INDUSTRIES LTD.
500444,West Coast Paper Mills Limited
500449,HINDUSTAN ORGANIC CHEMICALS LT
500450,MPIL CORPORATION LTD.
500456,PASUPATI ACRYLON LTD.
500458,TEAM24 CONSUMER PRODUCTS LIMIT
500459,PROCTER & GAMBLE HYGIENE & HEA
500460,MUKAND LTD.
500463,BLACK BOX LIMITED
500464,UCAL LIMITED
500467,HARRISONS MALAYALAM LTD.
500469,FEDERAL BANK LTD.
500470,TATA STEEL LTD.
500472,SKF INDIA LIMITED
500477,ASHOK LEYLAND LTD.
500480,CUMMINS INDIA LTD.
500483,TATA COMMUNICATIONS LTD.
500488,ABBOTT INDIA LTD.
500490,BAJAJ HOLDINGS & INVESTMENT LT
500493,BHARAT FORGE LTD.
500495,Escorts Kubota Limited
500500,HINDUSTAN MOTORS LTD.
500510,LARSEN & TOUBRO LTD.
500520,MAHINDRA & MAHINDRA LTD.
500530,BOSCH LTD.
500540,PREMIER LTD.
500547,BHARAT PETROLEUM CORPORATION L
500550,SIEMENS LTD.
500570,TATA MOTORS PASSENGER VEHICLES
500575,VOLTAS LTD.
500620,GREAT EASTERN SHIPPING CO.LTD.
500645,DEEPAK FERTILISERS & PETROCHEM
500650,EXCEL INDUSTRIES LTD.
500655,GARWARE HI-TECH FILMS LIMITED
500660,GLAXOSMITHKLINE PHARMACEUTICAL
500670,GUJARAT NARMADA VALLEY FERTILI
500672,NOVARTIS INDIA LTD.
500674,SANOFI INDIA LTD
500680,PFIZER LTD.
500690,GUJARAT STATE FERTILIZERS & CH
500696,HINDUSTAN UNILEVER LTD.
500710,JSW Dulux Limited
500730,NOCIL LTD.
500770,TATA CHEMICALS LTD.
500777,TAMILNADU PETROPRODUCTS LTD.
500780,Zuari Industries Limited
500790,NESTLE INDIA LTD.
500800,TATA CONSUMER PRODUCTS LIMITED
500820,ASIAN PAINTS LTD.
500825,BRITANNIA INDUSTRIES LTD.
500830,COLGATE-PALMOLIVE (INDIA) LTD.
500840,EIH LTD.
500850,THE INDIAN HOTELS COMPANY LTD
500870,CASTROL INDIA LTD.
500875,ITC LTD.
500877,APOLLO TYRES LTD.
500878,CEAT LTD.
500940,FINOLEX INDUSTRIES LTD.
501148,DALAL STREET INVESTMENTS LTD.
501150,CENTRUM CAPITAL LTD.
501151,KARTIK INVESTMENTS TRUST LTD.
501242,TCI FINANCE LTD.
501261,Lords Mark Industries Limited
501270,ANTARIKSH INDUSTRIES LIMITED
501295,INDUSTRIAL INVESTMENT TRUST LT
501298,INDUSTRIAL & PRUDENTIAL INVEST
501301,TATA INVESTMENT CORPORATION LT
501314,PRISMX GLOBAL VENTURES LIMITED
501351,RAPID INVESTMENTS LTD.
501370,WALCHAND PEOPLEFIRST LTD.
501391,W.H.BRADY & CO.LTD.
501421,TechNVision Ventures Limited
501423,SHAILY ENGINEERING PLASTICS LT
501425,The Bombay Burmah Trading Corp
501430,BOMBAY CYCLE & MOTOR AGENCY LT
501455,GREAVES COTTON LTD.
501477,MULLER & PHIPPS (INDIA) LTD.
501700,INDIANIVESH LTD.
501831,COASTAL CORPORATION LTD.
501833,CHOWGULE STEAMSHIPS LTD.
501848,GARWARE OFFSHORE SERVICES LIMI
501945,DHENU BUILDCON INFRA LTD.
502015,ASI INDUSTRIES LIMITED
502090,SAGAR CEMENTS LTD.
502137,DECCAN CEMENTS LTD.
502157,MANGALAM CEMENT LTD.
502168,NCL INDUSTRIES LTD.
502175,SAURASHTRA CEMENT LTD.
502180,SHREE DIGVIJAY CEMENT CO.LTD.
502219,BOROSIL RENEWABLES LIMITED
502281,TRIVENI GLASS LTD.
502294,NILACHAL REFRACTORIES LTD.
502330,ANDHRA PAPER LIMITED
502355,BALKRISHNA INDUSTRIES LTD.
502420,ORIENT PAPER & INDUSTRIES LTD.
502445,CITADEL REALTY AND DEVELOPERS
502448,ROLLATAINERS LTD.
502450,SESHASAYEE PAPER & BOARDS LTD.
502587,NATH INDUSTRIES LIMITED
502589,VAPI ENTERPRISE LIMITED
502820,DCM LTD.
502865,FORBES & COMPANY LTD.
502873,H.P.COTTON TEXTILE MILLS LTD.
502893,UNITED INTERACTIVE LTD.
502901,JAMSHRI REALTY LIMITED
502937,KESORAM INDUSTRIES LTD.
502958,LAKSHMI MILLS COMPANY LTD.
502986,VARDHMAN TEXTILES LTD.
503031,PENINSULA LAND LTD.
503092,PASUPATI SPG.& WVG.MILLS LTD.
503100,THE PHOENIX MILLS LTD
503101,MARATHON NEXTGEN REALTY LTD.
503127,RAJA BAHADUR INTERNATIONAL LTD
503162,RELIANCE CHEMOTEX INDUSTRIES L
503169,RUBY MILLS LTD.
503229,SIMPLEX REALTY LTD.
503310,Swan Corp Limited
503349,VICTORIA MILLS LTD.
503624,SVARAJ TRADING & AGENCIES LTD.
503635,SHREE SALASAR INVESTMENT LTD.
503639,Apollo Ingredients Limited
503641,ZODIAC VENTURES LIMITED
503657,VEER ENERGY & INFRASTRUCTURE L
503659,SW INVESTMENTS LTD
503663,Tilak Ventures Limited
503675,WAGEND INFRA VENTURE LIMITED
503685,MEDIAONE GLOBAL ENTERTAINMENT
503722,BANSWARA SYNTEX LTD.
503804,SHRI DINESH MILLS LTD.
503806,SRF LTD.
503811,SIYARAM SILK MILLS LTD.
503816,SWADESHI POLYTEX LTD.
503837,SHREE RAJASTHAN SYNTEX LTD.
503960,BHARAT BIJLEE LTD.
504000,ELPRO INTERNATIONAL LTD.
504028,GEE LTD.
504036,HIND RECTIFIERS LTD.
504058,INDO-NATIONAL LTD.
504067,ZENSAR TECHNOLOGIES LTD.
504076,JYOTI LTD.
504080,JSL INDUSTRIES LTD.
504084,KAYCEE INDUSTRIES LTD.
504092,INDOKEM LTD.
504093,PANASONIC ENERGY INDIA COMPANY
504112,NELCO LTD.
504132,PERMANENT MAGNETS LTD.
504176,HIGH ENERGY BATTERIES (INDIA)
504180,STANDARD BATTERIES LTD.
504212,UNIVERSAL CABLES LTD.
504220,W.S.INDUSTRIES (INDIA) LTD.
504240,DELTON CABLES LTD.
504258,LAKSHMI ELECTRICAL CONTROL SYS
504273,MODULEX CONSTRUCTION TECHNOLOG
504286,DELTA MANUFACTURING LIMITED
504340,Longspur International Venture
504341,RAVINDRA ENERGY LIMITED
504351,EMPOWER INDIA LTD.
504369,GRANDMA TRADING & AGENCIES LTD
504375,IDream Film Infrastructure Com
504378,NYSSA CORPORATION LIMITED
504380,FLOMIC GLOBAL LOGISTICS LIMITE
504392,KRISHNA VENTURES LIMITED
504397,GANESH HOLDINGS LTD.
504605,UNI ABEX ALLOY PRODUCTS LTD.
504614,SARDA ENERGY & MINERALS LTD.
504646,BHAGWATI AUTOCAST LTD.
504648,BOMBAY WIRE ROPES LTD.
504697,GALADA POWER & TELECOMMUNICATI
504731,AZAD INDIA MOBILITY LIMITED
504741,INDIAN HUME PIPE CO.LTD.
504746,INDIAN LINK CHAIN MANUFACTURES
504786,INVESTMENT & PRECISION CASTING
504810,INFORMED TECHNOLOGIES INDIA LT
504840,KAIRA CAN CO.LTD.
504879,ORIENT CERATECH LIMITED
504882,NATIONAL STANDARD (INDIA) LTD.
504903,RATHI STEEL & POWER LTD.
504908,Duncan Engineering Limited
504918,SANDUR MANGANESE & IRON ORES L
504959,STOVEC INDUSTRIES LTD.
504973,CHOLAMANDALAM FINANCIAL HOLDIN
504988,WELCAST STEELS LTD.
505010,AUTOMOTIVE AXLES LTD.
505036,AUTOMOBILE CORPORATION OF GOA
505075,SETCO AUTOMOTIVE LTD.
505160,TALBROS AUTOMOTIVE COMPONENTS
505163,Z.F.STEERING GEAR (INDIA) LTD.
505192,SML Mahindra Limited
505196,TIL LTD.
505200,EICHER MOTORS LTD.
505212,JAINEX AAMCOL LTD.
505216,ALFRED HERBERT (INDIA) LTD.
505232,VELJAN DENISON LIMITED
505242,DYNAMATIC TECHNOLOGIES LTD.
505250,G. G. Dandekar Properties Limi
505255,GMM PFAUDLER LTD.
505283,KIRLOSKAR PNEUMATIC CO.LTD.
505299,KPT INDUSTRIES LIMITED
505302,LAKSHMI ENGINEERING AND WAREHO
505324,MANUGRAPH INDIA LTD.
505336,HARSHIL AGROTECH LIMITED
505343,MONOTYPE INDIA LTD.
505355,NESCO LTD.
505358,INTEGRA ENGINEERING INDIA LTD.
505368,Semac Construction Limited
505400,TEXMACO INFRASTRUCTURE & HOLDI
505412,WENDT (INDIA) LTD.
505502,PS IT INFRASTRUCTURE & SERVICE
505504,GHV INFRA PROJECTS LIMITED
505509,RESPONSIVE INDUSTRIES LTD.
505515,SHYAMKAMAL INVESTMENTS LTD.
505523,MAHARASHTRA CORPORATION LTD.
505526,DOLAT ALGOTECH LIMITED
505533,WESTLIFE FOODWORLD LIMITED
505537,ZEE ENTERTAINMENT ENTERPRISES
505590,SVP GLOBAL TEXTILES LIMITED
505650,SKYLINE MILLARS LTD.
505681,BIMETAL BEARINGS LTD.
505685,TAPARIA TOOLS LTD.
505688,BHARAT GEARS LTD.
505690,BRADY & MORRIS ENGINEERING CO.
505693,La Tim Metal & Industries Limi
505700,ELECON ENGINEERING CO.LTD.
505710,GRAUER & WEIL (INDIA) LTD.
505712,HIM TEKNOFORGE LIMITED
505714,GABRIEL INDIA LTD.
505720,Hercules Investments Limited
505725,ALGOQUANT FINTECH LIMITED
505726,IFB INDUSTRIES LTD.
505729,SINGER INDIA LTD.
505737,INTERNATIONAL COMBUSTION (INDI
505744,FEDERAL-MOGUL GOETZE (INDIA) L
505750,JOSTS ENGINEERING CO.LTD.
505790,Schaeffler India Limited
505797,MIPCO SEAMLESS RINGS (GUJARAT)
505800,RANE HOLDINGS LTD.
505827,SNL BEARINGS LTD.
505840,JAIPAN INDUSTRIES LTD.
